"","word","freq","word","freq","word","freq"
"55","zayn",13,"calibre 50",14,"migos",15
"56","big sean",12,"lil baby",14,"blackbear",14
"57","clean bandit",12,"maroon 5",14,"ke$ha",14
"58","famous dex",12,"selena gomez",14,"max",14
"59","liam payne",12,"alan walker",13,"old dominion",14
"60","lil xan",12,"chris stapleton",13,"carly pearce",13
"61","nav",12,"kesha",13,"chris janson",13
"62","bruno mars",11,"luke combs",13,"future",13
"63","kane brown",11,"nf",13,"kelly clarkson",13
"64","2 chainz",10,"offset",13,"nf",13
"65","bts",10,"celine dion",12,"russell dickerson",13
"66","james arthur",10,"miguel",12,"bebe rexha",12
"67","kyle",10,"the chainsmokers",12,"becky g",12
"68","tay-k",10,"french montana",11,"calvin harris",12
"69","kesha",9,"n.e.r.d",11,"goldlink",12
"70","kygo",9,"travis scott",11,"offset",12
"71","lorde",9,"bad bunny",10,"the chainsmokers",12
"72","bing crosby",8,"boney m.",10,"walker hayes",12
"73","blackbear",8,"goldlink",10,"young thug",12
"74","drake",8,"jacquees",10,"bts",11
"75","hugh jackman",8,"mariah carey",10,"sam hunt",11
"76","justin bieber",8,"a boogie wit da hoodie",9,"eminem",10
"77","machine gun kelly",8,"john legend",9,"jacquees",10
"78","avicii",7,"p!nk",9,"jon pardi",10
"79","lauv",7,"plies",9,"kenny chesney",10
"80","lil skies",7,"shawn mendes",9,"kip moore",10
"81","p!nk",7,"liam payne",8,"n*e*r*d",10
"82","rae sremmurd",7,"pentatonix",8,"ybn nahmir",10
"83","thomas rhett",7,"portugal. the man",8,"2 chainz",9
"84","burl ives",6,"wisin",8,"famous dex",9
"85","calvin harris",6,"young thug",8,"justin bieber",9
"86","mariah carey",6,"dean martin",7,"lil xan",9
"87","shawn mendes",6,"james arthur",7,"travis scott",9
"88","andy williams",5,"joyner lucas",7,"wisin",9
"89","band aid",5,"katy perry",7,"billy currington",8
"90","brenda lee",5,"romeo santos",7,"cheat codes",8
"91","frank sinatra",5,"thomas rhett",7,"devin dawson",8
"92","louis tomlinson",5,"yfn lucci",7,"dustin lynch",8
"93","nat king cole",5,"2 chainz",6,"james arthur",8
"94","vince guaraldi trio",5,"banda sinaloense ms de sergio lizã¡rraga",6,"jason aldean",8
"95","wham!",5,"bubbagotbeatz",6,"maluma",8
"96","zac efron",5,"quality control",6,"chris stapleton",7
"97","dj snake",4,"wham!",6,"florida georgia line",7
"98","elvis presley",4,"elvis presley",5,"garth brooks",7
"99","justin timberlake",4,"justin timberlake",5,"nav",7
"100","keala settle",4,"michael bublã©",5,"youngboy never broke again",7
"101","mykola dmytrovych leontovych",4,"nacho",5,"a boogie wit da hoodie",6
"102","quality control",4,"pharrell williams",5,"brothers osborne",6
"103","anita kerr singers",3,"pnb rock",5,"childish gambino",6
"104","ariana grande",3,"twenty ã˜ne pilã˜ts",5,"kelsea ballerini",6
"105","jay rock",3,"big shaq",4,"meek mill",6
"106","josã© feliciano",3,"daddy yankee",4,"scotty mccreery",6
"107","loren allred",3,"gene autry",4,"tank",6
"108","michael bublã©",3,"karol g",4,"farruko",5
"109","the chainsmokers",3,"kevin gates",4,"lil baby",5
"110","troye sivan",3,"lanco",4,"louis tomlinson",5
"111","ziv zaifman",3,"lil peep",4,"the revivalists",5
"112","22 savage",2,"michael jackson",4,"zedd",5
"113","bad bunny",2,"silentã³",4,"bhad bhabie",4
